Date,vnindex_price,vnindex_return
2023-08-01,1217.56,
2023-08-02,1220.43,0.2354399587978682
2023-08-03,1210.95,-0.7798080135473551
2023-08-04,1225.98,1.233534864025739
2023-08-07,1241.42,1.2515361542979622
2023-08-08,1242.23,0.06522658415781957
2023-08-09,1233.99,-0.6655329829166482
2023-08-10,1220.61,-1.090208793582977
2023-08-11,1232.21,0.9458571344241149
2023-08-14,1236.84,0.37504347235074303
2023-08-15,1234.05,-0.225829655365264
2023-08-16,1243.26,0.743551871399729
2023-08-17,1233.48,-0.7897519184215276
2023-08-18,1177.99,-4.602984660167668
2023-08-21,1179.76,0.1501431731531257
2023-08-22,1180.49,0.061857856013326266
2023-08-23,1172.56,-0.6740213783773467
2023-08-24,1189.39,1.425117791763329
2023-08-25,1183.37,-0.5074270399887418
2023-08-28,1201.72,1.538756363092557
2023-08-29,1204.43,0.22525620978629768
2023-08-30,1213.16,0.7222099649186399
2023-08-31,1224.05,0.8936507296382815
2023-09-05,1234.98,0.8889742687815418
2023-09-06,1245.5,0.8482280103271039
2023-09-07,1243.14,-0.18966188017888153
2023-09-08,1241.48,-0.13362206268904248
2023-09-11,1223.63,-1.4482365481084232
2023-09-12,1245.44,1.7667030325059268
2023-09-13,1238.39,-0.5676732250071096
2023-09-14,1223.81,-1.1843205602589004
2023-09-15,1227.36,0.28965779461152175
2023-09-18,1211.81,-1.2750411547317095
2023-09-19,1211.5,-0.025584840708865336
2023-09-20,1226.11,1.1987294890104705
2023-09-21,1212.74,-1.09642937778869
2023-09-22,1193.05,-1.6369209000764484
2023-09-25,1153.2,-3.397236660378674
2023-09-26,1137.96,-1.3303501080610793
2023-09-27,1153.85,1.3866991266951687
2023-09-28,1152.43,-0.12314204514977581
2023-09-29,1154.15,0.14913857909169612
2023-10-02,1155.25,0.09526284603684221
2023-10-03,1118.1,-3.268595459705343
2023-10-04,1128.67,0.9409132204558597
2023-10-05,1113.89,-1.3181555013593431
2023-10-06,1128.54,1.3066368566480615
2023-10-09,1137.36,0.7785025416674409
2023-10-10,1143.69,0.555008986987287
2023-10-11,1150.81,0.620616504955283
2023-10-12,1151.61,0.06949210241348172
2023-10-13,1154.73,0.2705587123539656
2023-10-16,1141.42,-1.1593449104464617
2023-10-17,1121.65,-1.7472285830763572
2023-10-18,1103.4,-1.6404493620983964
2023-10-19,1087.85,-1.419305057411908
2023-10-20,1108.03,1.8380392488748791
