Date,Open,High,Low,btc_price,Adj Close,Volume,day_gap,usdvnd_rate,fx_observed,usdvnd_rate_used,btc_vnd_price,btc_return,btc_usd_return,fx_filled
2023-08-01,29230.873046875,29675.732421875,28657.0234375,29675.732421875,29675.732421875,18272392391.0,,23680.0,True,23680.0,702721343.75,,,False
2023-08-02,29704.146484375,29987.998046875,28946.509765625,29151.958984375,29151.958984375,19212655598.0,1.0,23680.0,True,23680.0,690318388.75,-1.7807507516909338,-1.7807507516909338,False
2023-08-03,29161.8125,29375.70703125,28959.48828125,29178.6796875,29178.6796875,12780357746.0,1.0,23735.0,True,23735.0,692555962.3828125,0.32361227666512854,0.09161807791750279,False
2023-08-04,29174.3828125,29302.078125,28885.3359375,29074.091796875,29074.091796875,12036639988.0,1.0,23750.0,True,23750.0,690509680.1757812,-0.29590550689273076,-0.3590833546296193,False
2023-08-05,29075.388671875,29102.46484375,28957.796875,29042.126953125,29042.126953125,6598366353.0,1.0,,False,23750.0,689750515.1367188,-0.11000318899209226,-0.11000318899209226,True
2023-08-06,29043.701171875,29160.822265625,28963.833984375,29041.85546875,29041.85546875,7269806994.0,1.0,,False,23750.0,689744067.3828125,-0.0009347994530765626,-0.0009347994530765626,True
2023-08-07,29038.513671875,29244.28125,28724.140625,29180.578125,29180.578125,13618163710.0,1.0,23725.0,True,23725.0,692309216.015625,0.371208781771924,0.4765273802377892,False
2023-08-08,29180.01953125,30176.796875,29113.814453125,29765.4921875,29765.4921875,17570561357.0,1.0,23720.0,True,23720.0,706037474.6875,1.9635616612586424,1.9846386979053392,False
2023-08-09,29766.6953125,30093.435546875,29376.80078125,29561.494140625,29561.494140625,18379521213.0,1.0,23730.0,True,23730.0,701494255.9570312,-0.6455605098914261,-0.6877101417061734,False
2023-08-10,29563.97265625,29688.564453125,29354.447265625,29429.591796875,29429.591796875,11865344789.0,1.0,23735.0,True,23735.0,698511361.2988281,-0.4261267433718964,-0.4471948989328098,False
2023-08-11,29424.90234375,29517.7734375,29253.517578125,29397.71484375,29397.71484375,10195168197.0,1.0,23740.0,True,23740.0,697901750.390625,-0.08731097435659882,-0.10837469218066252,False
2023-08-12,29399.787109375,29465.11328125,29357.587890625,29415.96484375,29415.96484375,6194358008.0,1.0,,False,23740.0,698335005.390625,0.06206039371356436,0.06206039371356436,True
2023-08-13,29416.59375,29441.43359375,29265.806640625,29282.9140625,29282.9140625,7329897180.0,1.0,,False,23740.0,695176379.84375,-0.4533340724443713,-0.4533340724443713,True
2023-08-14,29283.263671875,29660.25390625,29124.10546875,29408.443359375,29408.443359375,14013695304.0,1.0,23750.0,True,23750.0,698450529.7851562,0.46987553738446797,0.42776140747162833,False
2023-08-15,29408.048828125,29439.12109375,29088.853515625,29170.34765625,29170.34765625,12640195779.0,1.0,23815.0,True,23815.0,694691829.4335938,-0.5396016346580199,-0.8129120118753778,False
